id,X,Y,NN
785,29.2380413,-1.6892807,145
786,30.0889513,-1.9368888,133
787,30.0623675,-1.9654739,163
788,29.2754183,-1.675094,170
789,29.2753654,-1.675151,182
790,30.0599016,-1.9316367,133
791,29.7412576,-2.6025895,178
792,29.742081,-2.6013516,164
793,30.0611152,-1.9395927,132
794,30.0429507,-1.9427606,141
795,29.7525537,-2.1013924,173
796,29.7511754,-2.1030854,178
797,29.0925168,-2.4401035,177
798,29.2798871,-1.9044706,148
799,29.3894963,-1.9804199,192
800,29.1088953,-2.3346352,145
801,29.2860587,-2.1682061,163
802,28.8946259,-2.4900043,147
803,28.9140136,-2.4860566,174
804,29.3423343,-1.6988799,184
805,29.2627459,-1.731541,148
806,29.2624507,-1.7317282,162
807,29.5041606,-1.6143019,231
808,29.6434134,-1.5088602,179
809,30.0705939,-1.9298793,137
810,30.0868109,-1.9431048,154
811,30.0920727,-1.9504223,156
812,30.0912133,-1.9498269,143
813,30.5586109,-2.13823,165
814,29.3461874,-2.0550374,142
815,29.1998762,-2.4778639,224
816,29.7423151,-2.6020882,181
817,29.1994079,-2.4766315,232
818,29.6215767,-2.7637075,179
819,30.0590664,-1.9393806,141
820,29.2365913,-1.686776,146
821,29.2382213,-1.6910504,160
822,29.2342268,-1.6841019,158
823,29.6428217,-1.5082221,190
824,29.346198,-2.0551872,145
825,29.3462774,-2.0549868,146
826,29.3463843,-2.0550282,151
827,29.2365799,-1.6866892,154
828,30.0920444,-1.9498378,144
829,29.2338967,-1.6939437,140
830,29.2363208,-1.6944422,155
